YEAR,MO,DY,Radiation2
1986,2,27,200
1986,2,28,165.4166667
1986,3,1,217.9166667
1986,3,2,160.8333333
1986,3,3,167.0833333
1986,3,4,193.3333333
1986,3,5,206.25
1986,3,6,198.3333333
1986,3,7,224.5833333
1986,3,8,219.1666667
1986,3,9,213.75
1986,3,10,220.8333333
1986,3,11,214.5833333
1986,3,12,209.5833333
1986,3,13,207.0833333
1986,3,14,196.25
1986,3,15,230
1986,3,16,238.75
1986,3,17,219.5833333
1986,3,18,139.1666667
1986,3,19,245.8333333
1986,3,20,237.5
1986,3,21,152.0833333
1986,3,22,46.66666667
1986,3,23,248.75
1986,3,24,220.4166667
1986,3,25,265.4166667
1986,3,26,258.75
1986,3,27,262.5
1986,3,28,222.9166667
1986,3,29,235.8333333
1986,3,30,102.5
1986,3,31,267.0833333
1986,4,1,121.25
1986,4,2,217.0833333
1986,4,3,271.25
1986,4,4,259.5833333
1986,4,5,250.4166667
1986,4,6,269.5833333
1986,4,7,233.3333333
1986,4,8,227.5
1986,4,9,278.3333333
1986,4,10,272.0833333
1986,4,11,263.3333333
1986,4,12,275
1986,4,13,187.9166667
1986,4,14,97.5
1986,4,15,280.8333333
1986,4,16,266.6666667
1986,4,17,259.5833333
1986,4,18,302.0833333
1986,4,19,290.8333333
1986,4,20,112.0833333
1986,4,21,301.6666667
1986,4,22,319.5833333
1986,4,23,322.5
1986,4,24,317.0833333
1986,4,25,318.75
1986,4,26,320.4166667
1986,4,27,317.5
1986,4,28,313.75
1986,4,29,268.3333333
1986,4,30,289.1666667
1986,5,1,314.1666667
1986,5,2,170.4166667
1986,5,3,221.25
1986,5,4,326.6666667
1986,5,5,309.5833333
1986,5,6,260.8333333
1986,5,7,189.5833333
1986,5,8,311.6666667
1986,5,9,316.25
1986,5,10,322.0833333
1986,5,11,254.1666667
1986,5,12,272.5
1986,5,13,294.5833333
1986,5,14,297.9166667
1986,5,15,313.75
1986,5,16,320.8333333
1986,5,17,280
1986,5,18,329.1666667
1986,5,19,197.9166667
1986,5,20,312.0833333
1986,5,21,187.5
1986,5,22,312.5
1986,5,23,245
1986,5,24,327.0833333
1986,5,25,324.5833333
1986,5,26,336.25
1986,5,27,343.3333333
1986,5,28,335.8333333
1986,5,29,300
1986,5,30,334.1666667
1986,5,31,321.25
1986,6,1,342.5
1986,6,2,348.75
1986,6,3,351.6666667
1986,6,4,329.5833333
1986,6,5,341.25
1986,6,6,342.5
1986,6,7,308.3333333
1986,6,8,255.8333333
1986,6,9,257.9166667
1986,6,10,150.8333333
1986,6,11,249.5833333
1986,6,12,333.3333333
1986,6,13,311.25
1986,6,14,319.5833333
1986,6,15,330
1986,6,16,329.5833333
1986,6,17,340
1986,6,18,345
1986,6,19,352.5
1986,6,20,354.5833333
1986,6,21,352.9166667
1986,6,22,332.5
1986,6,23,335
1986,6,24,346.25
1986,6,25,330.4166667
1986,6,26,329.5833333
1986,6,27,316.6666667
1986,6,28,320.8333333
1986,6,29,332.9166667
1986,6,30,343.75
1986,7,1,344.5833333
1986,7,2,337.9166667
1986,7,3,338.75
1986,7,4,339.1666667
1986,7,5,338.3333333
1986,7,6,331.25
1986,7,7,337.5
1986,7,8,325.8333333
1986,7,9,320.8333333
1986,7,10,306.6666667
1986,7,11,326.6666667
1986,7,12,318.75
1986,7,13,325.8333333
1986,7,14,318.75
1986,7,15,337.5
1986,7,16,328.3333333
1986,7,17,337.0833333
1986,7,18,336.6666667
1986,7,19,321.25
1986,7,20,325
1986,7,21,320
1986,7,22,318.3333333
1986,7,23,307.9166667
1986,7,24,306.25
1986,7,25,312.5
1986,7,26,316.25
1986,7,27,308.75
1986,7,28,318.3333333
1986,7,29,316.6666667
1986,7,30,311.25
1986,7,31,322.5
1986,8,1,325.4166667
1986,8,2,317.9166667
1986,8,3,329.1666667
1986,8,4,322.0833333
1986,8,5,315
1986,8,6,304.5833333
1986,8,7,293.75
1986,8,8,295
1986,8,9,286.6666667
1986,8,10,285.8333333
1986,8,11,294.5833333
1986,8,12,271.6666667
1986,8,13,279.1666667
1986,8,14,284.1666667
1986,8,15,306.6666667
1986,8,16,307.9166667
1986,8,17,301.6666667
1986,8,18,294.1666667
